Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Dt_Customer_year,Income,Age,Divorced,Married,Single,Together,Widow,2n Cycle,Basic,Graduation,Master,PhD,AUS,CA,GER,IND,ME,SA,SP,US
0,1,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,2013,32173.0,62,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,2013,47823.0,60,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,1,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,2013,30523.0,62,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,2013,36634.0,66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,2013,43456.0,54,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,2013,40662.0,41,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,2013,49544.0,44,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,2012,57731.0,51,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,2012,33168.0,55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,2012,54450.0,64,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,2012,54450.0,64,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,2014,35340.0,64,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,2014,73170.0,45,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,2014,65808.0,49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,2014,79529.0,34,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,2014,34578.0,48,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,2014,46374.0,46,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,2013,18351.0,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,2013,95169.0,33,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,2013,65370.0,36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,2013,39228.0,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,2013,84865.0,59,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,2013,61314.0,52,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,2013,21359.0,48,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,2013,66465.0,65,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,2013,81698.0,37,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,2013,39146.0,34,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,2013,25959.0,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,2013,64260.0,59,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,2013,32300.0,47,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,2012,74806.0,55,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,2012,72967.0,50,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,2012,48904.0,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,2012,14796.0,36,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,2012,66991.0,66,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,1,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,2014,52195.0,42,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,2014,90369.0,64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,2014,18393.0,46,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,2014,47139.0,68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,2014,38576.0,47,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,2014,61905.0,45,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,2014,83715.0,58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,2014,60597.0,56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,2013,6560.0,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,2013,48330.0,59,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,2013,38236.0,52,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,2013,22701.0,43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,2013,53367.0,46,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,2013,34728.0,34,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,2013,63915.0,64,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,2013,82504.0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,2013,38578.0,48,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,2013,38578.0,48,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,2013,79174.0,45,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,2013,81975.0,58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,2012,43263.0,43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,2012,27242.0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,2012,76445.0,49,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,2012,75276.0,55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,2012,34213.0,57,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,2012,72335.0,44,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,2012,79143.0,56,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,2012,27469.0,73,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,2014,68695.0,51,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,2014,68695.0,51,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,2014,50388.0,63,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,2,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,2014,77622.0,50,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,1,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2014,46102.0,58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,2014,31859.0,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,2014,23830.0,33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,2014,24639.0,47,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,2013,71604.0,75,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,2013,27255.0,36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,2013,55375.0,43,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,2013,77037.0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,2013,24163.0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,2013,69476.0,51,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,2013,72063.0,41,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,2013,58646.0,58,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,2013,58646.0,58,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,2013,47570.0,71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,2013,80011.0,40,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,2013,54998.0,64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,2013,60200.0,72,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,2012,63211.0,38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,2012,48432.0,47,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,2012,48432.0,47,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,2012,48432.0,47,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,2012,62845.0,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,2012,62845.0,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,2012,65220.0,55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,2012,74214.0,30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,2014,96547.0,40,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,2014,53863.0,65,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,0,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,2014,50447.0,50,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,2014,37716.0,67,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2,0,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,2014,45203.0,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,2013,37368.0,45,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,2013,67225.0,65,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,2013,65104.0,44,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,2013,65104.0,44,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,2013,81698.0,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,2013,70566.0,52,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,2013,69096.0,62,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,2013,71434.0,58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,2013,33039.0,42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,2013,33039.0,42,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,2013,46610.0,62,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,2013,49967.0,62,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2013,53359.0,44,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,2013,49505.0,49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,2013,68657.0,74,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,2013,72071.0,66,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,2013,72071.0,66,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,2013,59235.0,53,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,2012,21994.0,63,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,2012,21994.0,63,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,2012,54216.88321167883,63,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,2012,69209.0,48,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,2014,31928.0,31,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,2014,74004.0,33,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,2013,30390.0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,2013,21355.0,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,2013,26304.0,51,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,2013,85710.0,31,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,2013,102692.0,46,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,2013,58350.0,49,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,2012,7500.0,42,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,2012,18890.0,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,2012,20425.0,34,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,2012,20425.0,34,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,2012,41437.0,63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,2012,49912.0,71,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,2012,49912.0,71,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,2014,79823.0,61,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,2014,85683.0,66,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2014,47025.0,55,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,2013,68397.0,44,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,2013,38175.0,36,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
